estimates,type,sample_id
3.049057303615001,beta 1 hat,644
1.9968382409721686,beta 0 hat,643
3.049072312495378,beta 1 hat,643
1.9976564927309342,beta 0 hat,642
3.0491063779663983,beta 1 hat,642
1.9980069270442553,beta 0 hat,641
3.0491037355893735,beta 1 hat,641
1.9978223356697915,beta 0 hat,640
3.0491841430625084,beta 1 hat,640
1.9979684390829138,beta 0 hat,639
3.048648580091062,beta 1 hat,639
1.9978512585640817,beta 0 hat,638
3.0485992778692292,beta 1 hat,638
1.997904176242933,beta 0 hat,637
3.0488562048116488,beta 1 hat,637
1.997794958007508,beta 0 hat,636
3.0485504251469955,beta 1 hat,636
1.9976707431634004,beta 0 hat,635
3.048533809605061,beta 1 hat,635
1.9978227697233606,beta 0 hat,634
3.048249149114486,beta 1 hat,634
1.9980609742580993,beta 0 hat,633
3.0483780077984326,beta 1 hat,633
1.9980595944461668,beta 0 hat,632
3.048044409138992,beta 1 hat,632
1.997729257963472,beta 0 hat,631
3.048023403947234,beta 1 hat,631
1.997806926445562,beta 0 hat,630
3.0481177902838255,beta 1 hat,630
1.9972947092263829,beta 0 hat,629
3.04834181175099,beta 1 hat,629
1.9973918424941663,beta 0 hat,628
3.048343922988976,beta 1 hat,628
1.9976589856335547,beta 0 hat,627
